date, strain, number, dots, cells
270924, 795, 1, 19, 68
270924, 795, 1, 16, 65
270924, 795, 1, 7, 41
270924, 795, 2, 8, 53
270924, 795, 2, 9, 54
270924, 795, 2, 5, 47
270924, 795, 3, 5, 29
270924, 795, 3, 3, 29
270924, 795, 3, 5, 35
270924, 897, 1, 1, 47
270924, 897, 1, 2, 58
270924, 897, 2, 0, 64
270924, 897, 3, 3, 33
270924, 897, 3, 0, 28
270924, 897, 3, 1, 46
270924, 1380, 1, 5, 47
270924, 1380, 1, 5, 34
270924, 1380, 1, 2, 35
270924, 1380, 1, 6, 35
270924, 1380, 2, 4, 44
270924, 1380, 2, 5, 42
270924, 1380, 2, 7, 48
270924, 1380, 3, 7, 46
270924, 1380, 3, 5, 36
270924, 1380, 3, 8, 51
